brand,model,os_version,network_type,user_isp_id,user_region_id,user_city_id,bandwidth_Mbps,user_uid,cell_asuLevel,cell_dbm,cell_level,cell_mcc,cell_mnc,cell_mobileNetworkOperator,cell_rssi,cell_timingAdvance,cell_bands,cell_bandwidth,cell_ci,cell_earfcn,cell_tac,cell_rsrp,cell_rsrq,cell_rssnr
vivo,V1938CT,10,4G,China Unicom,hebeisheng,baodingshi,5.3,c87195c3dcf82f398163848dc82af6d7,42,-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98,2,460,1,46001,2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647,3,['Added in API level 30'],20000,35718709,300,5726,-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98,-14;-14;-14;-14;-14;-14;-14;-14;-14;-14;-14;-14;-14;-14;-14;-14;-14;-13;-13;-13;-13;-13,4
vivo,V2002A,10,4G,China Unicom,weizhi,weizhi,1.5,bf0b61c583deafc7344d3482e57060d0,63,-77;-77;-77;-77;-77,4,460,0,46000,2147483647;2147483647;2147483647;2147483647;2147483647,353,['Added in API level 30'],10000,44682853,3590,18279,-77;-77;-77;-77;-77,-10;-10;-10;-10;-10,7
vivo,V2002A,10,4G,China Telecom,zhejiangsheng,shaoxingshi,146.8,a53d4dcc3ac937285af129e47b820d80,31,-109;-109;-109;-109;-109;-109;-109;-109;-109;-109;-109;-109;-109;-109;-109;-109,1,460,11,46011,-51;-51;-51;-51;-51;-51;-51;-51;-51;-51;-51;-51;-51;-51;-51;-51,3,['Added in API level 30'],20000,89966130,1650,59253,-109;-109;-109;-109;-109;-109;-109;-109;-109;-109;-109;-109;-109;-109;-109;-109,-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9,1
vivo,V2046A,11,4G,China Mobile,hunansheng,yiyangshi,38.9,870ca7a51353bf9da2c624c3aa30712d,50,-90;-90,3,460,0,46000,2147483647;2147483647,10,[],10000,33879705,38544,29447,-90;-90,-5;-5,2
vivo,V1962A,10,4G,China Mobile,hubeisheng,hubeisheng,10.8,34fe09ed09aaf6044a09048c62f5cc30,62,-78;-78;-78;-78;-78;-78;-78;-78;-78;-78;-78;-78;-78;-78;-78;-78;-78;-78;-78;-78;-78;-77,4,460,0,46000,2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647,5,['Added in API level 30'],20000,115837187,38400,28865,-78;-78;-78;-78;-78;-78;-78;-78;-78;-78;-78;-78;-78;-78;-78;-78;-78;-78;-78;-78;-78;-77,-12;-12;-12;-12;-12;-12;-12;-12;-12;-12;-12;-12;-12;-12;-12;-12;-12;-12;-12;-12;-12;-9,8
Xiaomi,21091116AC,11,4G,China Unicom,jiangxisheng,ganzhoushi,32,bebb450710b3168f1c8e1c22b954c9e7,56,-84;-84;-88,4,460,1,46001,-83;-83;-85,1,[],2147483647,146806549,1650,29832,-84;-84;-88,-5;-5;-6,1
vivo,V1938T,10,4G,China Telecom,shandongsheng,jinanshi,0.7,9de25d9aea30e3af0afcff234335f0d6,48,-92;-92;-92;-92;-92;-92;-92,3,460,1,46001,2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647,13,['Added in API level 30'],20000,52266512,1650,21020,-92;-92;-92;-92;-92;-92;-92,-11;-11;-11;-11;-11;-10;-10,1
vivo,V2134A,11,4G,China Telecom,anhuisheng,tonglingshi,5.6,cbb35d0fd1a4163334f1065ad1c70529,59,-81;-81;-80,4,460,11,46011,2147483647;2147483647;2147483647,11,[],10000,114968084,2452,28041,-81;-81;-80,-7;-7;-7,1
vivo,V2134A,11,4G,China Telecom,guangdongsheng,guangzhoushi,75,c8d56e4ca19c5f9dd5941579b8f97527,53,-87;-86;-86;-86;-86;-86;-81;-81;-81;-81;-81;-81;-81;-81;-81;-81;-75;-75;-75;-75;-80;-80;-80,3,460,11,46011,2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647,2,[],20000,219363586,100,30100,-87;-86;-86;-86;-86;-86;-81;-81;-81;-81;-81;-81;-81;-81;-81;-81;-75;-75;-75;-75;-80;-80;-80,-3;-3;-3;-3;-3;-3;-10;-10;-10;-10;-10;-10;-10;-10;-10;-10;-10;-10;-10;-10;-10;-10;-10,2
vivo,V2130A,11,4G,China Telecom,yunnansheng,kunmingshi,156.5,c80c723f916350eb2f7b33ca2a0d3593,58,-82;-82;-82;-82;-82;-79;-79;-79;-79;-80;-80;-80;-80;-78;-78;-78;-78;-78;-80;-80;-80,4,460,11,46011,-83;-83;-83;-83;-83;-81;-81;-81;-81;-81;-81;-81;-81;-81;-81;-81;-81;-81;-81;-81;-81,3,[],2147483647,259145220,100,44323,-82;-82;-82;-82;-82;-79;-79;-79;-79;-80;-80;-80;-80;-78;-78;-78;-78;-78;-80;-80;-80,-6;-6;-6;-6;-6;-11;-11;-11;-11;-11;-11;-11;-11;-12;-12;-12;-12;-12;-11;-11;-11,1
