brand,model,os_version,network_type,user_isp_id,user_region_id,user_city_id,bandwidth_Mbps,user_uid,cell_asuLevel,cell_dbm,cell_level,cell_mcc,cell_mnc,cell_bands,cell_tac,cell_nrarfcn,cell_csiRsrp,cell_csiRsrq,cell_csiSinr,cell_ssRsrp,cell_ssRsrq,cell_ssSinr
OPPO,PDKM00,11,5G,China Mobile,hubeisheng,wuhanshi,377.4,d5593e5be617ef09049c42eefeca3a5d,96,-44;-44,4,460,0,[],1574501,504990,-44,-3,2147483647,-44;-44,-3;-3,40;40
realme,RMX3043,11,5G,China Unicom,jilinsheng,baichengshi,121.3,5dd8715e140c2ffdca82f46632e63fef,96,-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44,4,460,1,[],593920,427010,-44,-3,2147483647,-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44,-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3,40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40
OPPO,PEYM00,11,5G,China Mobile,guangdongsheng,dongguanshi,185.5,e1ad157dc5d111698f28165958fc5bb4,96,-44;-44,4,460,0,[],1323130,504990,-44,-3,2147483647,-44;-44,-3;-3,40;40
realme,RMX2205,11,5G,China Unicom,guangxizhuangzuzizhiqu,wuzhoushi,82.3,d6224ab19f53b9285092db1ec67211f3,96,-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44,4,460,11,[],11833856,427970,-44,-3,2147483647,-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44,-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3,40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40
vivo,V2031A,10,5G,China Unicom,shanxisheng,yunchengshi,383.7,825e9a79639100159457fdd0bf7a8d31,97,78;78;78;78;78;78;78;78;78;78;77;77;77;77;76;76;76;76;77;77;77;77,0,460,1,['Added in API level 30'],2147483647,633984,255,255,255,78;78;78;78;78;78;78;78;78;78;77;77;77;77;76;76;76;76;77;77;77;77,84;84;84;84;84;84;84;84;84;84;85;85;85;85;83;83;83;83;82;82;82;82,94;94;94;94;94;95;95;95;95;95;90;90;90;90;91;91;91;91;90;90;90;90
OPPO,PFDM00,11,5G,China Telecom,fujiansheng,xiamenshi,334,8966ac310600a54eb6734ccb72cdf384,96,-44;-44,4,460,11,[],6175744,627264,-44,-3,2147483647,-44;-44,-3;-3,40;40
vivo,V2057A,10,5G,China Mobile,shanxisheng,jinzhongshi,469,aca8da62aaeb645225d4774b3bd92f3b,97,63;63;63;63;58;58;58;58;66;66;66;66,0,460,0,['Added in API level 30'],709701,504990,255,255,255,63;63;63;63;58;58;58;58;66;66;66;66,86;86;86;86;43;43;43;43;63;63;63;63,88;88;88;88;55;55;55;55;63;63;63;63
OPPO,PDCM00,11,5G,China Telecom,hebeisheng,hengshuishi,176.8,1c7bf27bf55393042b20dfc164eee47a,96,-44;-44,4,460,1,[],2359296,633984,-44,-3,2147483647,-44;-44,-3;-3,40;40
Xiaomi,M2004J7BC,11,5G,China Unicom,shandongsheng,weihaishi,16,4ae0cbb8347809c522776438b15adfe6,96,-44;-44;-44,4,460,1,[],3342343,627264,-44,-3,2147483647,-44;-44;-44,-3;-3;-3,40;40;40
OPPO,PEQM00,11,5G,China Mobile,fujiansheng,longyanshi,401.5,b9a24ddf914855ba376d86da62d6e714,96,-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44,4,460,0,[],3299703,504990,-44,-3,2147483647,-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44,-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3,40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40
OPPO,PFVM10,11,5G,China Telecom,jiangsusheng,suzhoushi,204.9,6da901868c368adae321b2f2630c2d6d,96,-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44,4,460,1,[],13623297,627264,-44,-3,2147483647,-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44,-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3,40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40
