brand,model,os_version,network_type,user_isp_id,user_region_id,user_city_id,bandwidth_Mbps,user_uid,wifi_rssi,wifi_linkSpeed,wifi_hiddenSSID,wifi_frequency,wifi_rxLinkSpeedMbps,wifi_txLinkSpeedMbps,wifi_maxSupportedRxLinkSpeedMbps,wifi_maxSupportedTxLinkSpeedMbps,wifi_wifiStandard
vivo,V2115A,11,WIFI,China Telecom,guangdongsheng,guangzhoushi,106,a5159f6b70ee955677618d426f0a64c6,-37;-37;-33;-33;-31;-31;-31;-31;-31;-31;-31;-31;-31,2401;2401;2401;2401;2401;2401;2401;2401;2401;2401;2401;2401;2401,FALSE,5240,1921;1921;1729;1729;1729;1729;1921;1921;1729;1729;1921;1921;1921,1921;1921;1921;1921;1921;1921;1921;1921;1921;1921;1921;1921;1921,2401,2401,6
vivo,V2059A,11,WIFI,China Mobile,shandongsheng,hezeshi,120.6,6dba89a8b0bc626eaab2ee3dce02abb3,-36;-36;-35;-35;-35;-35;-35;-35;-33,1080;1080;1200;1200;1080;1080;1080;1080;1200,FALSE,5180,720;720;864;864;864;864;960;960;1200,1080;1080;1200;1200;1080;1080;1080;1080;1200,1200,1200,6
OPPO,PEEM00,12,WIFI,China Telecom,guangdongsheng,guangzhoushi,525.6,aafc2c1ee79bb6869f7ac6112c054575,-45;-45;-45,864;864;864,FALSE,5765,1200;1200;1200,864;864;864,286,286,6
realme,RMX2071,11,WIFI,China Telecom,guangxizhuangzuzizhiqu,guilinshi,346.9,68a256330d08db65a97a56cc746fa9dd,-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-45,1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200,FALSE,5805,1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200,1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200,1200,1200,6
OPPO,PEEM00,11,WIFI,China Unicom,henansheng,xinxiangshi,69.2,1545d207b8f0af85fa4448481024cf12,-47;-47;-47;-47;-47;-47;-47;-47;-47;-47;-47;-49;-49;-49;-49;-49;-49;-50;-50;-50;-50;-50,286;286;286;286;286;286;286;286;286;286;286;286;286;286;286;286;286;286;286;286;286;286,FALSE,2462,286;286;286;286;286;286;286;286;286;286;286;286;286;286;286;286;286;286;286;286;286;286,286;286;286;286;286;286;286;286;286;286;286;286;286;286;286;286;286;286;286;286;286;286,286,286,6
vivo,V2046A,11,WIFI,China Unicom,guangdongsheng,foshanshi,264.1,cba6edb7716fd6ea63fd7f18307584a4,-34;-34;-33;-33;-32;-32;-32;-32;-31;-31;-32;-32;-31;-31;-31;-31;-32;-32;-31;-31;-32;-32,1200;1200;1080;1080;1080;1080;1080;1080;1080;1080;1080;1080;1080;1080;1080;1080;1080;1080;1080;1080;1080;1080,FALSE,5745,960;960;960;960;960;960;864;864;864;864;960;960;864;864;864;864;864;864;864;864;864;864,1200;1200;1080;1080;1080;1080;1080;1080;1080;1080;1080;1080;1080;1080;1080;1080;1080;1080;1080;1080;1080;1080,1200,1200,6
vivo,V2046A,11,WIFI,China Telecom,hubeisheng,huanggangshi,110.2,ff515c2d8a86fc6fb5d51fc38bfd5764,-50;-50;-52;-52;-53;-53;-52;-52;-50;-50;-48;-48;-47;-47;-46;-46;-46;-46;-46;-46;-46;-46,866;866;780;780;585;585;650;650;866;866;702;702;866;866;866;866;866;866;866;866;866;866,FALSE,5240,866;866;585;585;650;650;650;650;780;780;780;780;780;780;866;866;866;866;866;866;780;780,866;866;780;780;585;585;650;650;866;866;702;702;866;866;866;866;866;866;866;866;866;866,286,286,6
vivo,V2049A,11,WIFI,China Mobile,shanxisheng,yunchengshi,103.2,0d8f6011097eebb3cfc04ee031e684f9,-53;-53;-53;-60;-60;-57;-57;-56;-56;-54;-54;-53;-53;-53;-53;-53;-53;-53;-53;-54;-54;-54,286;286;286;286;286;286;286;286;286;286;286;286;286;286;286;286;286;286;286;286;286;286,FALSE,2412,229;229;229;206;206;206;206;206;206;258;258;258;258;258;258;258;258;258;258;258;258;258,172;172;172;172;172;149;149;172;172;149;149;206;206;206;206;206;206;172;172;206;206;206,573,573,6
vivo,V2141A,11,WIFI,China Telecom,shanghaishi,shanghaishi,112.2,3374d9ed9cf20a3f1df704860333622b,-37;-37;-37;-37;-37;-38,2882;2882;2882;2882;2882;2882,FALSE,5180,2401;2401;2401;2161;2161;2161,2401;2401;2401;2401;2401;2401,2401,2401,6
OPPO,PDHM00,11,WIFI,China Telecom,sichuansheng,chengdushi,729.8,245002ee653b5e28ba45ab5ee8c46ec7,-8;-8;-8;-7;-7;-7;-7;-7;-7;-6;-6;-6;-6;-6;-6;-7;-7;-7;-7;-7;-7;-6,1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200,FALSE,5785,1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200,1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200,1200,1200,6
OnePlus,MT2110,11,WIFI,China Telecom,guangdongsheng,guangzhoushi,634.7,f49e2e326efaf4cef55302789142d00e,-33;-33;-33;-33;-33;-33;-27;-27;-27;-27;-27;-27;-27;-27;-27;-27;-27;-27;-27;-27;-27;-27;-27,2401;2401;2401;2401;2401;2401;2401;2401;2401;2401;2401;2401;2401;2401;2401;2401;2401;2401;2401;2401;2401;2401;2401,FALSE,5260,2401;2401;2401;2401;2401;2401;2401;2401;2401;2401;2401;2401;2401;2401;2401;2401;2401;2401;2401;2401;2401;2401;2401,2401;2401;2401;2401;2401;2401;2401;2401;2401;2401;2401;2401;2401;2401;2401;2401;2401;2401;2401;2401;2401;2401;2401,2401,2401,6
vivo,V1981A,11,WIFI,China Telecom,hunansheng,huaihuashi,294.1,1ef6c4a8aa24ef87009d88a22099f443,-59;-59;-59;-59;-59;-59,1200;1200;1200;1200;1200;1200,FALSE,5180,626;626;626;626;626;626,626;626;626;626;626;626,1200,1200,6
vivo,V2072A,11,WIFI,China Mobile,sichuansheng,chengdushi,538.3,eaad2857f514bbf562be8a3e2bc1cf28,-32;-32;-32;-32;-32,600;600;600;600;600,FALSE,5220,600;600;600;600;600,600;600;600;600;600,600,600,6
realme,RMX2202,11,WIFI,China Unicom,hebeisheng,shijiazhuangshi,745.8,22eda0d6b24d4ca4cee64ce51c900474,-35;-35;-37;-37;-37;-37;-37;-37;-38;-38;-38;-38;-38;-38,2401;2401;2401;2401;2401;2401;2401;2401;2401;2401;2401;2401;2401;2401,FALSE,5180,2401;2401;2401;2401;2401;2401;2401;2401;2401;2401;2401;2401;2401;2401,2401;2401;2401;2401;2401;2401;2401;2401;2401;2401;2401;2401;2401;2401,2401,2401,6
vivo,V2046A,11,WIFI,China Telecom,jilinsheng,changchunshi,529,e87bfef62195cf48f302234cb20f7ff9,-54;-54;-55,648;648;720,FALSE,5200,576;576;720,648;648;720,1200,1200,6
vivo,V2055A,11,WIFI,China Telecom,zhejiangsheng,jinhuashi,757,1f5c12f8cc0e69f46a148d4664d66f4b,-43;-43;-43;-39;-39;-38;-38;-37;-37;-45;-45;-46;-46;-48;-48;-47;-47;-49;-49;-47;-47;-46,1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200,FALSE,5220,864;864;864;432;432;720;720;720;720;720;720;720;720;720;720;720;720;626;626;864;864;864,960;960;960;720;720;720;720;864;864;720;720;720;720;864;864;720;720;864;864;864;864;960,1200,1200,6
vivo,V2055A,11,WIFI,China Telecom,anhuisheng,chuzhoushi,266.3,94561fb5b9e65033f771b8e3dc1558f7,-59;-59;-59;-56;-56;-60;-60;-59;-59;-63;-63;-62;-62;-63;-63;-65;-65;-67;-67;-75;-75;-72,1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200,FALSE,5180,288;288;288;1080;1080;626;626;432;432;432;432;626;626;432;432;576;576;576;576;432;432;576,576;576;576;720;720;600;600;576;576;432;432;576;576;360;360;540;540;626;626;626;626;216,1200,1200,6
vivo,V2055A,11,WIFI,China Telecom,hubeisheng,huanggangshi,318.7,040dd77001c36fde85c894898be4329d,-68;-68;-68;-68;-68;-68;-68;-68;-68;-65;-65;-66;-66;-65;-65;-62;-62;-63;-63;-62;-62;-63,1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200,FALSE,5220,288;288;288;288;288;288;288;288;288;288;288;288;288;216;216;432;432;288;288;288;288;288,288;288;288;216;216;216;216;216;216;216;216;216;216;288;288;288;288;288;288;216;216;288,1200,1200,6
OPPO,PEEM00,11,WIFI,China Telecom,shanxisheng,xianshi,320.2,260b52a5cec8b0214dce0ac0fdb68596,-30;-30;-30;-29;-29;-29;-29,2401;2401;2401;2401;2401;2401;2401,FALSE,5220,2401;2401;2401;2401;2401;2401;2401,2401;2401;2401;2401;2401;2401;2401,2401,2401,6
OPPO,PEEM00,11,WIFI,China Mobile,yunnansheng,yuxishi,455.2,633b8aba25e23a2e0fec8a90770bb704,-52;-52;-52;-52;-52;-52,1200;1200;1200;1200;1200;1200,FALSE,5180,1200;1200;1200;1200;1200;1200,1200;1200;1200;1200;1200;1200,2401,2401,6
vivo,V2072A,11,WIFI,China Mobile,hubeisheng,hubeisheng,357.6,6203e2f2150a1735867d74a2c487c0a2,-51;-51;-51;-51;-50;-50;-48;-48;-47;-47;-47;-47;-46;-46;-44;-44;-45;-45;-44;-44;-46;-46,600;600;600;600;600;600;600;600;600;600;600;600;600;600;600;600;600;600;600;600;600;600,FALSE,5280,6;6;600;600;432;432;540;540;600;600;600;600;600;600;600;600;600;600;600;600;540;540,360;360;360;360;432;432;432;432;432;432;432;432;480;480;480;480;480;480;432;432;480;480,600,600,6
vivo,V2056A,11,WIFI,China Unicom,shanxisheng,lvliangshi,855.2,40aeb5304c178522d408f1060b0e4ab9,-50;-50;-50;-46;-46;-43,2401;2401;2401;2401;2401;2401,FALSE,5180,1729;1729;1729;1253;1253;1729,1253;1253;1253;1441;1441;1441,2401,2401,6
vivo,V2049A,12,WIFI,China Telecom,guangdongsheng,shenzhenshi,312.1,c6b6d0ca0b6383bd7beba168659e617a,-45;-45;-43;-43;-42;-42;-41;-41;-42;-42;-42;-42;-44;-44;-44;-46;-46;-49;-49;-48;-48;-50,1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200,FALSE,5805,6;6;960;960;960;960;960;960;960;960;960;960;960;960;960;960;960;960;960;864;864;960,864;864;864;864;864;864;864;864;720;720;720;720;720;720;720;864;864;720;720;720;720;864,1200,1200,6
vivo,V2049A,12,WIFI,China Telecom,fujiansheng,ningdeshi,384.2,1896749c37a7d192706b8b853cb81e3c,-31;-31;-31;-31;-31;-31,2401;2401;2401;2401;2401;2401,FALSE,5200,1921;1921;2161;2161;2161;2161,1921;1921;2161;2161;2161;2161,2401,2401,6
samsung,SM-G9750,11,WIFI,China Telecom,hebeisheng,baodingshi,606.5,7af98067a60ca532c3ad5f930763b128,-55;-55;-55;-55;-55;-55;-55;-55;-55;-55;-55;-55;-55;-55;-55;-55;-55;-55;-55;-55;-55;-55,612;612;612;612;612;612;612;612;648;648;648;648;648;648;648;648;648;648;648;648;648;648,FALSE,5180,720;720;720;720;720;720;720;720;720;720;720;720;720;720;720;720;720;720;720;720;720;720,612;612;612;612;612;612;612;612;648;648;648;648;648;648;648;648;648;648;648;648;648;648,1200,1200,6
OnePlus,LE2120,12,WIFI,China Unicom,shandongsheng,weihaishi,210.3,56bc8d6a07716689ea355ffafa1da433,-58;-58;-58;-58,1200;1200;1200;1200,FALSE,5805,1200;1200;1200;1200,1200;1200;1200;1200,1200,1200,6
vivo,V1981A,11,WIFI,China Unicom,shandongsheng,jiningshi,455.9,9fc3d187d195d68a61bcad943fd40ffb,-52;-52;-52;-49,1200;1200;1200;1200,FALSE,5180,1080;1080;1080;626,864;864;864;720,1200,1200,6
OnePlus,LE2120,12,WIFI,China Mobile,liaoningsheng,dalianshi,123.9,b4e4029620cfe520aa054513720be25d,-49;-49;-49;-49;-49;-49,1200;1200;1200;1200;1200;1200,FALSE,5220,1200;1200;1200;1200;1200;1200,1200;1200;1200;1200;1200;1200,2401,2401,6
